ENTITY_ID;NAME;TYPE;SITE;CANTON;MAX_WATER_VOLUME_M3_S;MAX_POWER_MW;START_OF_OPERATION_FIRST;START_OF_OPERATION_LAST;LATITUDE;LONGITUDE;STATUS;WATERBODIES;IMAGE_URL
202125;Saxettal-Geissbrunnen;L;Saxeten;BE;0.23;0.43;1999;1999;46.62837364;7.82997675;im Normalbetrieb;Quelle Nessleren, Quelle Rosslegi;
202150;Saxettal-Kammri;L;Wilderswil;BE;0.25;0.74;1998;1998;46.6576165;7.85344404;im Normalbetrieb;Quelle Geissbrunnen, Quelle Gibelbach, Quelle Innerfeld, Quelle Nessleren, Quelle Rosslegi, Quelle Staldengräbli;
202200;Interlaken;L;Interlaken, Kanal;BE;30.0;0.8;1894;1932;46.68263649;7.85010705;im Normalbetrieb;Aare;
202275;Interlaken;L;Unterseen;BE;15.0;0.3;1996;1996;46.68201856;7.84683464;im Normalbetrieb;Aare;
202290;Kandersteg (Eggeschwand);L;Kandersteg, Eggeschwand;BE;0.8;2.1;2009;-1;46.4750952;7.66012033;im Normalbetrieb;Alpbach;
202300;Kandersteg (Zilfuri);L;Kandersteg, Zilfuri;BE;0.6;1.1;1903;1958;46.49562954;7.69159625;im Normalbetrieb;Chalberspiessenquellen, Holzspicherquellen, Öschibach, Weissbachquellen;
202350;Kandersteg (Dorf);L;Kandersteg, Dorf;BE;1.2;1.0;1996;2012;46.49593475;7.67518516;im Normalbetrieb;Chalberspiessenquellen, Holzspicherquellen, Öschibach, Weissbachquellen;
202400;Kandergrund;L;Inner-Kandergrund;BE;7.3;18.8;1911;1991;46.54274368;7.65948441;im Normalbetrieb;Kander;
202425;Engstligenalp;L;Adelboden, Engstligenalp;BE;1.35;0.6;1937;2011;46.44915706;7.56175459;im Normalbetrieb;Engstlige;
202430;WKA Spiggenbach Reichenbach;L;Reichenbach, Losplatte;BE;1.55;2.75;2017;-1;46.57684639;7.73463401;im Bau;Spiggenbach;
